school_name,school_section,cca_grouping_desc,cca_generic_name,cca_customized_name
ADMIRALTY PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,FOOTBALL,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,TRACK & FIELD,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,WUSHU,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,ROPE SKIPPING,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,UNIFORMED GROUPS,SCOUTS,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,UNIFORMED GROUPS,BROWNIES,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,CHOIR,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,ENSEMBLE - GUITAR,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,DANCE - CHINESE,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,DANCE - INDIAN,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,DANCE - MALAY,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,PHOTOGRAPHIC SOCIETY,PHOTOGRAPHY CLUB
ADMIRALTY PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,GREEN CLUB,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,INFOCOM CLUB,na
ADMIRALTY SECONDARY SCHOOL,SECONDARY,PHYSICAL SPORTS,BADMINTON,BADMINTON
AHMAD IBRAHIM PRIMARY SCHOOL,,PHYSICAL SPORTS,BASKETBALL,
AHMAD IBRAHIM PRIMARY SCHOOL,,VISUAL AND PERFORMING ARTS,DRAMA - ENGLISH,
AHMAD IBRAHIM PRIMARY SCHOOL,,VISUAL AND PERFORMING ARTS,ENSEMBLE - HARMONICA,
AHMAD IBRAHIM PRIMARY SCHOOL,,UNIFORMED GROUPS,NPCC,
AHMAD IBRAHIM PRIMARY SCHOOL,,PHYSICAL SPORTS,TABLE TENNIS,
AHMAD IBRAHIM PRIMARY SCHOOL,,PHYSICAL SPORTS,AUDIO VIDEO AND INFORMATION TECHNOLOGY CLUB,
AHMAD IBRAHIM SECONDARY SCHOOL,,CLUBS AND SOCIETIES,LDDS - ENGLISH,
AHMAD IBRAHIM SECONDARY SCHOOL,,VISUAL AND PERFORMING ARTS,ENSEMBLE - STRING,
AHMAD IBRAHIM SECONDARY SCHOOL,,PHYSICAL SPORTS,BADMINTON,
AHMAD IBRAHIM SECONDARY SCHOOL,,UNIFORMED GROUPS,TEN-PIN BOWLING,
