school_name,url_address,address,postal_code,telephone_no,telephone_no_2,fax_no,fax_no_2,email_address,mrt_desc,bus_desc,principal_name,first_vp_name,second_vp_name,third_vp_name,fourth_vp_name,fifth_vp_name,sixth_vp_name,visionstatement_desc,missionstatement_desc,philosophy_culture_ethos,dgp_code,zone_code,cluster_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,mothertongue1_code,mothertongue2_code,mothertongue3_code,special_sdp_offered,grade_A,grade_O
ADMIRALTY SECONDARY SCHOOL,http://www.admiraltysec.moe.edu.sg,31 WOODLANDS CRESCENT,737916,63651733,63654596,63652774,na,Admiralty_SS@moe.edu.sg,ADMIRALTY MRT,904,MR TOH THIAM CHYE,MR NG SONG LIM STEVEN,MR SHEIK ALAUDIN B MOHD ISMAIL,na,na,na,na,Values-Centric_ Thinking School,Empowering Admirals to Actualise Their Aspirations,Guided by our philosophy of 'Every Admiral_ a Leader'_ we are committed to nurture every student into a confident_ concerned_ self-directed and contributing Admiral. Through the ADSS Total Curriculum_ we provide a student-centric_ values-driven education to nurture our students in the cognitive_ physical_ aesthetics_ social_ moral and leadership domains so that our students can succeed in life and contribute to society. We believe that it takes a village to raise a child. Our dedicated team of caring educators is committed to partnering parents and the community to bring out the best in every child.,WOODLANDS,NORTH,NORTH 7,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,Design Thinking is used as an anchor pedagogical approach to inculcate in our students the ability to solve problem and innovate using various technologies. With the use Design Thinking protocol in the Applied Learning Programme (ALP) for Robotics and Coding_ we seek to stretch the imagination of our students_ empowering them to appreciate the relevance and value of what they are learning in the academic curriculum. To further augment students' motivation and purpose in learning new knowledge and skills_ Admirals are also put through a Learning for Life Programme (LLP) with a focus on leadership practices and involvement in community outreach projects. Overseas learning experiences are organised to raise students' cross-cultural understanding and to deepen their commitment and rootedness to Singapore. These include cohort trips which are organised to complement existing cultural exchange with twinning and immersion programmes.,-1,203
ANDERSON SERANGOON JUNIOR COLLEGE,www.asrjc.moe.edu.sg,4500 ANG MO KIO AVENUE 6,569843,64596822,na,64598734,na,asrjc@moe.edu.sg,Yio Chu Kang MRT Station,13_ 45_ 86_ 162_ 269_ 825_ 851_ 852_ 853,MR MANOGARAN S/O SUPPIAH,na,na,na,na,na,na,na,na,na,ANG MO KIO,NORTH,NORTH 5,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,No,Chinese,Malay,Tamil,Science Research and Enrichment Programme; Civics Education; Education & Career Guidance; Student Leadership Development & Talent Management Programme; Global Outreach Programme,11,-1
ANGLICAN HIGH SCHOOL,http://www.anglicanhigh.moe.edu.sg,600 UPPER CHANGI ROAD,487012,62414866,na,64414690,na,AHS@MOE.EDU.SG,TANAH MERAH MRT,2_ 9_ 12_ 14_ 24_ 31_ 35_ 38_ 45_ 47_ 48,MR KHOO TSE HORNG,MR GOH CHIN WEI,MR JOHN WU YIFAN,MR SEAH THIAM SIONG,na,na,na,Where Talents Soar: Bicultural Scholars_ Accomplished Achievers_ Honourable Leaders,To nurture creative thinkers_ lifelong learners and compassionate leaders who uphold tradition and aspire towards holiness and righteousness.,Anchored on the school philosophy 'Every Child Has Talent_ Every Child Can Excel'_ the school provides all students with a rich learner-centered_ holistic educational experience_ with the aim of stretching every student's potential in the Cognitive_ Leadership_ Aesthetics_ Moral_ Physical and Social domains. In nurturing the whole child_ the school places emphasis on leadership and talent development to build the personal capacity of each child. Students are equipped with life skills to be confident communicators_ active collaborators and critical thinkers. As a Special Assistance Plan (SAP) school_ the school offers a bicultural learning environment with strong emphasis on the learning of the Chinese language and culture premised on strong values and active citizenry. Besides offering a quality 4-year instructional programme_ the school also has a robust and vibrant CCA programme and Student Development Co-curriculum to nurture good character and develop 21st century competencies. With its strong sports tradition_ the school is affirmed as the Centre of Excellence (COE) for Sports in the East Zone. The school's total curriculum is characterised as being progressive_ competency-based_ values-led and passion-driven_ and is thoughtfully designed and delivered by a team of highly dedicated and competent teachers.,BEDOK,EAST,EAST 4,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,Yes,Yes,No,No,Chinese,na,na,In Anglican High School (AHS) where 'Talents Soar'_ students are developed holistically through the four-year CHAMPS (Cognitive_ Headship_ Aesthetics_ Moral_ Physical and Social) Talent Development Programme. The Anglican Critical Thinking Skills (ACTS) is infused in the curriculum to develop critical thinkers. Every student is schooled in Design Thinking through the Innovative Thinkers Self-Directed Learners & Collaborative Researchers (i-ScoRe) Programme where students develop solutions for the underprivileged in the community. Students' interests in Science_ Technology_ Engineering_ and Mathematics (STEM) are nurtured through Dynamic Science_ Robotics and Coding programmes. Learning beyond the classroom is inspired through the IGNITE Elective Modules and cross-disciplinary projects (GEMS). As a SAP school_ the Appreciation of Chinese (ACE) programme develops bi-culturally confident global citizens. The AHS student is a servant leader and this philosophy drives the structured Overseas Learning Programme and Student Leadership Development Programme. The Arts Education Programme develops students in their aesthetic talents. A highly personalised ECG programme guides students in preparing themselves to be future-ready.,-1,239
ANGLO-CHINESE JUNIOR COLLEGE,http://www.acjc.edu.sg,25 DOVER CLOSE EAST,139745,67750511,na,67775479,na,acjc@acjc.edu.sg,Buona Vista,74_95_100_105_106_111_145_147_191_196_198_602,DR CHEE YAN HOON SHIRLEEN,MDM SEOW HONG KIANG,MRS LEE BEE CHEOW,MS YEE TIEN PAO JAMIE AMANDA,na,na,na,Noble Ambition and Character_ for the Service of God and nation.,ACJC is a Methodist Institution committed to an all-round education of the highest standards based on Christian principles and a consciousness of self_ others and God.,na,QUEENSTOWN,WEST,WEST 1,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,No,na,na,na,MOE Music and Drama Elective_ MOE Humanities and Pre-U Scholarships_  Science Research Programme_ ACJC-A*STAR Science Research Symposium_ Humanities Symposia_ ACJC-EDB Entrepreneurship Education Programme_ Performing Arts Programme_ ACJC Seminar Series_ Extensive Community Involvement Programmes,9,-1
ANGLO-CHINESE SCHOOL (INDEPENDENT),http://www.acsindep.moe.edu.sg,121 DOVER ROAD,139650,67731633,na,67731433,na,ACIS@MOE.EDU.SG,DOVER MRT_ BUONA VISTA MRT_ ONE-NORTH MRT,14_ 33_ 74_ 166_ 196,MR WINSTON JAMES HODGE,MR KOH SUNG- YI ARENE,MR SOO MUN KEONG PATRICK,MRS TEO LAI CHENG JUDY-HO,MISS THIRUNALAN MIRUNALINI,MISS CHOCK SIEW HWA,MDM YONG LEE HAR,Years 1-4: A Scholar_ Officer and Gentleman; Catalyst for Change_ for God and Humanity. Years 5-6: A Scholar_ Leader and Global Citizen; Catalyst for Change_ for God and Humanity.,To be a beacon of truth and light_ a world-class institution through the holistic development of our students,Founded in 1886_ our school's core purpose is to nurture our students to be catalysts for change with Godly values and robust character_ equipped and willing to serve and lead in the family_ nation and the global community. A Methodist institution_ the school places a strong focus on all-rounded values-centric development_ anchored in a school environment of family and community. Every Year 1-4 student participates in 2 CCAs (a Uniformed Group and a Sports/ Club/Society/Performing Arts Group).,QUEENSTOWN,SOUTH,SOUTH 2,INDEPENDENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,MIXED LEVEL,No,No,Yes,Yes,Chinese,Malay,Tamil,ACS(I) is a centre for various MOE programmes such as the School-Based Gifted Education Programme_ Music Elective Programme_ Regional Studies Programme and Humanities Scholarship Programme. In addition_ school-based programmes such as ACE21 Communications Programme_ Accelerated Class for Science_ Mathematics and Science Olympiads and the Dr Goh Keng Swee Nation Building series nurture students holistically.,5,249
ANGLO-CHINESE SCHOOL (JUNIOR),www.acsj.moe.edu.sg,16 WINSTEDT ROAD,227988,67337911,67337912,67346518,na,acjs@moe.edu.sg,Newton MRT Station,5_ 54 _ 124 _ 128 _ 143 _162 _ 162M _ 167 _ 171 _ 700 and 700A.,MRS CHAILLAN MUI TUAN,MR CHIA CHEE WENG RICHARD CHRIS,MR TONY TAN SEK LIANG,na,na,na,na,Every ACSian_ a young gentleman of character ready for the future to lead and to serve.,To nurture our students with a quality_ holistic education_ rooted in Christian values_ that allows each to reach his fullest potential_ equipped with life skills to face the future and to serve God and nation.,"Anglo-Chinese School (Junior) (ACSJ) is one of the seven units in the ACS Family of Schools. Bishop William Fitzjames Oldham founded Anglo-Chinese School on 1 March 1886 in a humble shop house at 70 Amoy Street.   Today_ the ACSian outcomes in the domains of Aspiration (The ACSian embraces the future with an aspiring mindset)_ Character (The ACSian Gentleman of Character demonstrates love_ integrity and loyalty at all times)_ and Service (The ACSian works with others to make a positive difference) are based on Christian values_ which still remain as a cornerstone in the school's vision aims to make ""Every ACSian_ a young gentleman of character ready for the future to lead and to serve"".   The school provides a positive learning environment designed to stimulate the intellectual_ social_ physical_ emotional and spiritual growth of the boys. Through a shared vision and understanding of the school's core values (Integrity_ Love_ Excellence_ Curiosity_ Collaboration & Loyalty) there is strong engagement of the boys and staff in teaching and learning in both the core and co-curricular programme.   Central to our success at providing a holistic education for our students is the strong partnership we enjoy with our stakeholders and institutions in the wider community. At ACSJ_ boys are part of a community that values each person's individual self-worth. They engage in meaningful activities while fostering firm friendships and ties that will last a lifetime.  We believe that under our nurturing environment_ and being amongst a caring and congenial community of staff_ students_ parents and alumni_ a student's primary years with us will be both fulfilled and meaningful. Our students will leave the school as confident young gentlemen_ ready to move on to greater heights in their next stage in life for above all they stand by our motto: The Best Is Yet To Be.",CENTRAL,SOUTH,SOUTH 5,GOVERNMENT-AIDED SCH,BOYS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,Various school programmes support the development of the 3 desired outcomes in each ACSian - the ACSian embraces the future with an aspring mindset; the ACSian gentleman demonstrates love_ integrity and loyalty at all times; the ACSian works with others to make a positive difference.   In Character & Citizenship Education_ the planned curriculum and the informal help students to develop CCE competencies. The Values in Action Programme (VIA) at ACSJ is a platform of practice for the school values_ traits and social emotional competencies taught and shared. Through the programmes_ students are actively engaged in the community_ deriving learning through the service they render. As values are both caught and taught_ the school provides many opportunities such as 'Greet. Ask. Thank.' and 'Everyday Responsibilities' for our boys to demonstrate school values in and out of the classrooms.   ACSJ's Applied Learning Programme (ALP) comprises Creative Thinkers for all which develop the 21st Century Skills Domains of Learning & Innovation skills_ Information_ Media & Technology skills and Life & Career Skills. In Creative Thinkers_ students are engaged through purposeful play of quality games and Creative Problem Solving (CPS) activities deployed in the classroom. Additional support to the Academic Programme is provided through the Thoburn and Hinch Programmes_ which seek to develop intellectual rigour_ creativity and character values in students of all abilities.  ACSJ also offers a Learning for Life Programme (LLP) titled 'All for Sports_ Sports for All @ ACSJ'. It features key sports such as tennis_ rugby_ table tennis and swimming to promote a pervasive sporting culture. By leveraging on the existing platforms of PAL_ PE and CCA_ as well as existing school sports events_ Holistic Health Programme and Play@Recess programmes_ the school provides many avenues to nurture values as well as life skills whilst providing a firm basis for a healthy & active lifestyle.,-1,-1
ANGLO-CHINESE SCHOOL (PRIMARY),http://www.acspri.moe.edu.sg/,50 BARKER ROAD,309918,62501633,na,63531366,na,acps@moe.edu.sg,Newton MRT Station,Bus 48_ 66_ 67_ 170_ 171_ 603_ 700,DR NG SIEW PENG IRENE,MDM CHOH THIAN JENG CELIA,MR CHUA THIAN KEONG,MDM EILEEN SEOW LAY YEN,na,na,na,Every ACSian a young man of character_ capability and creativity.,ACS (Primary) believes in providing an all-round education in an environment which seeks to bring out the potential in every pupil to the fullest_ and to develop in him a strong moral character_ imbued with Christian values and principles to guide and prepare him for life ahead.,The Anglo-Chinese School (ACS)_ a Methodist Institution_ was founded on 1st March 1886 by Bishop William F Oldham_ with 13 pupils in a small shophouse in Chinatown. Since 1886_ ACS(P) has delivered an all-round education anchored on Christian principles and our Founder's vision which is rooted in Academic Achievement_ Strength of Character and Christian Service.  WE BELIEVE THAT GOD IS OUR STRENGTH AND OUR PROVIDER We continue the tradition set by our founder to seek God and honour Him in all that we do_ and to be faithful in our call as educators and stewards at developing our young charges holistically.  WE BELIEVE IN MOULDING AND NURTURING OUR BOYS TO BE THEIR BEST The ACSian lies at the heart of our endeavours_ as we provide an all-round development for all our boys that is represented by the ACS(P) brand of education. We have programmes distinctive to the ACS(P) education experience that develops our boys in the Affective_ Cognitive_ Social and Physical domains_ so that we can develop in them the four Traits of an ACSian- an iHOPEFUL* Leader_ a Creative Learner_ an Effective Communicator and a Community Collaborator.  WE BELIEVE IN PARTNERSHIPS TO DO OUR BEST FOR OUR BOYS Integral to our efforts at providing the ACS(P) brand of education are our partners. We believe that partnerships enable the school to realise our common goals. Thus_ every partnership that the school harnesses develops our boys in the ACS(P) brand of education. At ACS(P)_ we CARE-Coach_ Affirm_ Relate and Enthuse; it is an approach to engender a culture of innovation_ care and excellence and it defines our interactions with our students_ colleagues and stakeholders.  Our school's motto_ The Best Is Yet To Be_ encapsulates our aspirations to continually strive for excellence. With the strong traditions of our institution_ we will continue to live up to our motto_ for the glory of God.   *iHOPEFUL stands for integrity_ humility_ obedience_ perseverance_ empathy_ faithfulness_ unity and loyalty,NOVENA,SOUTH,SOUTH 3,GOVERNMENT-AIDED SCH,BOYS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,Yes,No,Chinese,Malay,Tamil,To achieve the ACS(P) brand of education_ beyond the regular curriculum_ the school has CCAs_  Signature Programmes_ as well as two niche programmes in swimming and bowling. In addition_ we offer the Gifted Education Programme for the intellectually gifted.   In line with our vision to produce Gentlemen of Character_ the school has our 6-year Pastoral Care programme that focuses on the explicit teaching of our iHOPEFUL values. Our boys are taught these values from Primary 1 so that they are nurtured as iHOPEFUL Leaders_ at home_ in school and in the community. In purposefully applying our iHOPEFUL values_ we have a 6-year Values-in-Action (VIA) programme for our boys to demonstrate the iHOPEFUL values through various meaningful contexts.   To nurture Gentlemen of Capability_ our ACS(P) school experience goes beyond what our boys learn in the school curriculum. Our enrichment programmes cater to all boys to develop our boys in areas like Arts Appreciation_ Coding_ or Drama. All our boys are also encouraged to take at least one CCA to allow them to try out new CCAs_ discover their passion and interests_ and learn new skills. Other distinctive programmes include our Mother-Tongue Language Fun Day for Primary 1 and 2 boys and the E2K Science and Mathematics Programmes. Our niche programmes - swimming and bowling_ develop our boys' knowledge_ skills and understanding in both fields and nurture in them 21st century skills like teamwork.   To nurture Gentlemen of Creativity_ creativity tools such as SCAMPER and Making Thinking Visible have been infused into the curriculum to foster critical and creative thinking. School-wide opportunities to promote creativity are provided in the form of the Conducive Learning Environment Challenge where every class works as a team to make their learning space a creative_ clean and conducive one.,-1,-1
ASSUMPTION PATHWAY SCHOOL,http://www.aps.edu.sg,30 CASHEW ROAD,679697,68793900,na,67622857,na,aps@ite.edu.sg,Downtown Line 2_ Cashew mrt,SBS Transit No 170    SMRT No 67_ 75_ 171_ 176_ 178_ 184_ 961_ 963 & 970,MR LEONG YEW HON ERIC,MR SHASHIDARAN S/O KANESON,WONG MUN FEI ALVIN,na,na,na,na,Every student a CARER achieving personal success,Assumption Pathway School is a Catholic educational institution transforming and empowering students unable to access/complete mainstream secondary education to be CARERS achieving personal success,Connecting Lives_ Nurturing Individualised Growth_ Flourishing Through Opportunities,BUKIT PANJANG,WEST,WEST 6,SPECIALISED SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,Montfort Development Programme_ iSTAY (Residential Programme)_ Physical Education_ Performing Arts_ Visual Arts_ English Language_ Mathematics_ Information & Communication Technology_ Vocational Training Programme_ IEP (Industry Experiential Programme)_ SIP (Skills Induction Programme),-1,250
BEDOK GREEN PRIMARY SCHOOL,http://www.bedokgreenpri.moe.edu.sg,1 BEDOK SOUTH AVE 2,469317,64425416,na,64491491,na,bgps@moe.edu.sg,Bedok MRT Station_ Tanah Merah MRT Station,Bus No. 2_ 9_ 12_ 24_ 31_ 34 & 38,MRS NG KIM CHOO CELINE,MDM SHARIFAH FAIRUZ BTE S Y A,MR YEO SHO HOR,na,na,na,na,Empowered Learners_ Persons of Strength and Character,To empower BGPians to learn how to learn and succeed_ and nurture them to be confident persons and concerned citizens.,Bedok Green Primary's philosophy that 'Every Child Matters' undergirds our unyielding belief that every child is special_ valuable and important_ and thus will receive the necessary support to ensure his success in life_ regardless of his starting point_ with many helping hands_ sound structures and a myriad of programmes for various student segments put in place. We build the students' resilience_ confidence and strong thirst for success_ despite the challenges and obstacles_ always cheered on and encouraged by their teachers and peers. The school philosophy unites the school as one_ as every member of the school community takes accountability of his role in ensuring individual and collective success. We also ensure that students learn in a warm_ nurturing and conducive environment for their holistic development.   The philosophy also drives the school's strong culture of care for its students_ staff and stakeholders. Every member of the school community is respected and recognised for his contribution_ big or small_ with ample opportunities to succeed. Character-building and Values-In-Action programmes focus on contributing to their peers_ the school and community_ reiterating the importance of giving generously back to society_ in our own ways.,BEDOK,EAST,EAST 2,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,Learning for Life Programme Sports to Reinforce Values Education (STRIVE @ BGPS): STRIVE @ BGPS taps on key platforms such as physical education lessons_ co-curricular activities (CCA) and outdoor education programmes to inculcate values in students so as to develop their character and citizenship_ as well as hone their social-emotional (SEL) and 21st century competencies.    Innovations in the Use of Information and Communication Technology (ICT) in Teaching and Learning: As part of its efforts to achieve its vision of empowered learners_ these ICT initiatives encourage students to be self-directed and collaborative learners.  Flipped Learning: In the flipped classroom model_ students view video lectures at home to prepare for lessons the next day_ and arrive in class ready to discuss_ analyse and apply the information they had already learned. Teachers are skilful facilitators who engage students in robust discussions and meaningful activities in a student-centric classroom.  Mobile Learning: Students have the opportunity to learn using mobile devices like iPads_ making their learning experiences authentic and tactile with the aim to have higher student engagement levels during lessons and improved student ahicvements.  Curriculum Experience Day: The Curriculum Experience Day presents our students with opportunities to be immersed in a day of exciting and innovative activities which promote critical and creative thinking. Parents also have a chance to be in school to learn alongside with their children and understand the school's curriculum offerings better through these bonding activities.,-1,-1
BEDOK GREEN SECONDARY SCHOOL,http://www.bedokgreensec.moe.edu.sg,360 BEDOK NORTH AVE 3,469722,64463301,na,64465969,na,BGSS@MOE.EDU.SG,BEDOK MRT_ BEDOK RESERVOIR MRT,14_ 17_ 18_ 28_ 46_ 66_ 67_ 69_ 168_ 222_ 228_ 506,MR BOY ENG SENG,MR LIM HOCK SEONG KELVIN,MS FOO SHEUE FENG (FU XUEFENG),MR LEE CHEE CHONG,na,na,na,A School of Choice and a Community of Life-Long Learners.,To provide a nurturing environment where pupils are imbued with sound values_ a passion for learning and confidence to face future challenges.,"With our motto ""Believe and Grow"" and philosophy ""Every Child Matters""_ our teachers lay a strong foundation in all domains of student development so as to develop every student into a Reflective and Collaborative Learner_ an Ethical and Innovative Leader_ and a Cultured and Confident Citizen. Supported by a Culture of Care_ we create a nurturing environment in which students are imbued with sound values of Resilience_ Integrity_ Compassion and Humility. We inculcate in our students a spirit of High Expectations and Excellence so that they can soar when they graduate with outstanding academic and co-curricular achievements. More importantly_ we ensure that they have the disposition for continuous Improvement and Innovation so that they are equipped with the competencies to be Future-Ready. To achieve this_ we work towards developing a culture of Collaborative Learning amongst staff and students.",BEDOK,EAST,EAST 2,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,We offer a wide range of programmes to cater to students with varied profiles_ needs and abilities. Key in developing 21st Century Competencies is our Applied Learning Programme (ALP) in Science_ Technology_ Engineering and Mathematics (STEM). It aims to develop scientific thinking and inquiry skills through real-life applications_ and rides upon our Integrated Project Work (IPW) where students solve authentic problems and learn important skills like programming_ electronics and product design. Student projects are showcased at the BGSS Learning Festival. Our Learning for Life Programme (LLP) builds students' character and values through a whole-school Performing Arts programme_ PAssion. All lower secondary students attend a modular Aesthetics Programme in Music_ Dance and Drama_ and exhibit their learning at the Aesthetics Showcase. The school promotes a strong culture in Sports and Outdoor Activities to develop resilience and ruggedness. Every student goes through Outdoor Education modules in PE_ enrichment such as abseiling_ as well as the Sec 2 Adventure Camp. We also organise many sporting activities such as Sports Fiesta_ and offers Exercise and Sports Science as a GCE O-Level subject. The Values-in-Action (VIA) Programme promotes Service Learning to cultivate compassion and leadership in our students. It includes the Sec 3 Overseas VIA to orphanages in Indonesia_ as well as student-initiated projects in collaboration with community partners such as PAYM. To ensure student well-being and development_ we provide individualised support through our Year Head System_ the STAR mentoring programme for graduating students_ and many others.,-1,188
